FECHA,HORA_UTC,LATITUD (grados),LONGITUD (grados),PROFUNDIDAD (Km),MAGNITUD Ml,MAGNITUD Mw,DEPARTAMENTO,MUNICIPIO,# FASES,RMS (Seg),GAP (grados),ERROR LATITUD (Km),ERROR LONGITUD (Km),ERROR PROFUNDIDAD (Km),ESTADO
2012-10-12,23:29:24,   6.790, -73.136, 140.5,  3.0,  3.0,SANTANDER,LOS_SANTOS,15, 0.50,66,  3.2,  2.9,  5.1,Revisado
2012-10-13,23:09:20,   6.802, -73.132, 147.4,  3.2,  3.4,SANTANDER,LOS_SANTOS,17, 0.50,55,  3.2,  3.0,  5.2,Revisado
2012-10-17,07:07:36,   6.973, -73.013, 166.4,  3.1,  3.3,SANTANDER,PIEDECUESTA,13, 0.30,100,  3.1,  2.7,  4.2,Revisado
2012-10-18,23:38:38,   6.799, -73.131, 141.6,  3.2,  3.6,SANTANDER,LOS_SANTOS,17, 0.40,55,  2.5,  2.7,  4.3,Revisado
2012-10-19,21:41:58,   6.800, -73.139, 146.0,  3.1,  3.5,SANTANDER,LOS_SANTOS,17, 0.40,55,  2.9,  3.2,  5.1,Revisado
2012-10-19,23:28:17,   6.812, -73.158, 148.0,  3.5,  4.0,SANTANDER,LOS_SANTOS,17, 0.50,64,  3.8,  4.2,  6.1,Revisado
2012-10-20,09:37:12,   6.802, -73.149, 147.8,  3.6,  3.7,SANTANDER,LOS_SANTOS,15, 0.40,65,  3.0,  3.0,  4.8,Revisado
2012-10-20,21:51:11,   6.818, -73.136, 150.2,  4.4,  4.4,SANTANDER,LOS_SANTOS,22, 0.50,66,  3.1,  3.3,  4.8,Revisado
2012-10-22,23:41:20,   6.800, -73.144, 150.9,  3.8,  3.9,SANTANDER,LOS_SANTOS,13, 0.40,66,  2.6,  2.7,  4.7,Revisado
2012-10-24,10:20:09,   6.800, -73.145, 148.0,  4.2,  4.1,SANTANDER,LOS_SANTOS,24, 0.50,65,  3.0,  2.9,  4.9,Revisado
2012-10-25,22:25:25,   6.808, -73.146, 148.8,  3.0,  3.3,SANTANDER,LOS_SANTOS,11, 0.40,136,  3.3,  5.4,  6.1,Revisado
2012-10-26,08:28:16,   6.806, -73.126, 150.4,  3.7,  4.0,SANTANDER,LOS_SANTOS,25, 0.50,55,  3.0,  3.3,  4.5,Revisado
2012-10-27,08:03:15,   6.805, -73.135, 148.6,  3.2,  3.4,SANTANDER,LOS_SANTOS,16, 0.40,66,  2.1,  2.4,  4.2,Revisado
2012-10-28,08:28:53,   6.828, -73.128, 144.0,  3.0,  3.4,SANTANDER,LOS_SANTOS,12, 0.40,66,  3.3,  3.3,  5.5,Revisado
2012-10-29,15:15:04,   6.802, -73.123, 146.0,  3.1,  3.4,SANTANDER,LOS_SANTOS,13, 0.40,139,  2.8,  3.6,  5.6,Revisado
2012-10-30,12:18:21,   6.828, -73.130, 144.0,  4.5,  4.3,SANTANDER,LOS_SANTOS,23, 0.60,71,  3.0,  3.7,  5.4,Revisado
2012-10-30,12:29:25,   6.826, -73.144, 146.1,  3.8,  3.7,SANTANDER,LOS_SANTOS,18, 0.60,70,  3.7,  4.3,  5.8,Revisado
2012-10-31,02:57:39,   6.820, -73.137, 148.7,  4.1,  4.0,SANTANDER,LOS_SANTOS,17, 0.50,71,  3.9,  3.6,  5.6,Revisado
2012-10-31,15:39:36,   6.855, -73.129, 145.7,  3.8,  3.8,SANTANDER,LOS_SANTOS,15, 0.50,70,  3.3,  3.6,  5.4,Revisado
2012-11-01,04:03:05,   6.794, -73.115, 146.3,  3.0,  3.2,SANTANDER,LOS_SANTOS,13, 0.50,73,  3.4,  3.9,  5.8,Revisado
2012-11-03,02:32:14,   6.808, -73.116, 147.9,  3.0,  3.3,SANTANDER,LOS_SANTOS,16, 0.50,72,  3.0,  3.5,  5.2,Revisado
2012-11-05,16:46:01,   6.821, -73.139, 145.4,  4.8,  4.5,SANTANDER,LOS_SANTOS,17, 0.50,71,  3.1,  3.5,  5.2,Revisado
2012-11-06,13:21:21,   6.809, -73.090, 151.0,  3.1,  3.4,SANTANDER,LOS_SANTOS,16, 0.50,74,  3.1,  3.6,  5.5,Revisado
2012-11-08,02:03:49,   6.818, -73.163, 140.7,  3.3,  3.2,SANTANDER,LOS_SANTOS,21, 0.50,70,  2.8,  3.5,  5.1,Revisado
2012-11-08,16:32:43,   6.782, -73.143, 147.0,  3.1,  3.4,SANTANDER,LOS_SANTOS,14, 0.50,72,  3.6,  3.4,  5.3,Revisado
2012-11-14,13:36:46,   6.816, -73.145, 143.4,  3.2,  3.4,SANTANDER,LOS_SANTOS,21, 0.50,71,  3.2,  3.5,  5.0,Revisado
2012-11-14,20:55:01,   6.822, -73.161, 144.7,  3.0,  3.4,SANTANDER,LOS_SANTOS,18, 0.50,70,  2.6,  3.3,  4.9,Revisado
2012-11-17,04:29:28,   6.815, -73.148, 148.0,  3.6,  3.8,SANTANDER,LOS_SANTOS,23, 0.50,70,  2.5,  3.1,  4.7,Revisado
2012-11-17,10:18:56,   6.855, -73.127, 152.0,  3.4,  3.3,SANTANDER,LOS_SANTOS,31, 0.60,70,  2.4,  3.1,  4.4,Revisado
2012-11-17,10:44:33,   6.441, -73.460, 122.5,  3.1,  3.1,SANTANDER,SIMACOTA,21, 0.50,55,  2.5,  3.0,  5.4,Revisado
2012-11-20,20:41:13,   6.815, -73.158, 140.1,  3.2,  3.7,SANTANDER,LOS_SANTOS,26, 0.60,70,  2.5,  3.3,  5.0,Revisado
2012-11-22,09:15:20,   6.817, -73.159, 142.6,  3.0,  3.1,SANTANDER,LOS_SANTOS,15, 0.40,70,  2.6,  2.6,  4.4,Revisado
2012-11-25,12:49:39,   6.964, -73.145, 154.2,  3.1,  3.3,SANTANDER,FLORIDABLANCA,16, 0.40,65,  2.4,  2.8,  4.4,Revisado
2012-11-25,22:24:08,   6.824, -73.161, 152.0,  4.4,  4.6,SANTANDER,LOS_SANTOS,39, 0.60,67,  2.1,  2.9,  4.2,Revisado
2012-11-29,00:30:45,   6.805, -73.178, 140.8,  3.0,  3.1,SANTANDER,LOS_SANTOS,14, 0.50,69,  3.1,  3.5,  5.7,Revisado
2012-11-29,00:38:24,   6.812, -73.162, 141.3,  3.1,  3.2,SANTANDER,LOS_SANTOS,17, 0.40,70,  2.7,  2.8,  4.6,Revisado
2012-12-02,01:14:57,   6.774, -73.160, 140.6,  3.6,  3.6,SANTANDER,LOS_SANTOS,18, 0.40,71,  2.9,  2.8,  4.3,Revisado
2012-12-02,20:00:10,   6.784, -73.437, 117.3,  3.5,  3.6,SANTANDER,EL_CARMEN,16, 0.50,49,  3.2,  3.3,  6.2,Revisado
2012-12-04,19:23:35,   6.779, -73.139, 145.9,  3.1,  3.1,SANTANDER,LOS_SANTOS,12, 0.50,72,  3.2,  3.3,  6.0,Revisado
2012-12-04,22:32:34,   6.808, -73.170, 140.8,  3.3,  3.3,SANTANDER,LOS_SANTOS,15, 0.30,70,  2.0,  2.2,  3.9,Revisado
2012-12-05,10:49:17,   7.131, -73.011, 167.4,  3.0,  3.4,SANTANDER,TONA,13, 0.60,65,  3.9,  4.4,  6.3,Revisado
2012-12-06,13:09:00,   6.838, -73.181, 139.0,  3.0,  3.3,SANTANDER,ZAPATOCA,15, 0.60,68,  3.2,  3.6,  6.0,Revisado
2012-12-08,15:35:14,   6.824, -73.128, 147.6,  3.2,  3.3,SANTANDER,LOS_SANTOS,18, 0.50,71,  2.5,  3.2,  5.3,Revisado
2012-12-10,22:18:28,   6.828, -73.117, 144.9,  3.4,  3.5,SANTANDER,LOS_SANTOS,24, 0.50,72,  2.4,  3.0,  4.4,Revisado
2012-12-11,14:02:30,   6.815, -73.148, 150.4,  4.2,  3.9,SANTANDER,LOS_SANTOS,18, 0.50,70,  2.8,  3.5,  5.5,Revisado
2012-12-12,18:43:38,   6.804, -73.166, 143.7,  3.0,  3.2,SANTANDER,LOS_SANTOS,16, 0.60,70,  3.3,  4.2,  5.8,Revisado
2012-12-12,19:26:54,   6.811, -73.144, 142.7,  3.0,  3.1,SANTANDER,LOS_SANTOS,15, 0.50,136,  2.7,  3.9,  5.2,Revisado
2012-12-13,09:40:20,   6.803, -73.165, 144.4,  3.3,  3.3,SANTANDER,LOS_SANTOS,19, 0.50,70,  2.7,  3.3,  5.0,Revisado
2012-12-13,10:05:22,   6.797, -73.134, 150.3,  4.0,  4.2,SANTANDER,LOS_SANTOS,31, 0.60,68,  2.7,  3.5,  4.9,Revisado
2012-12-16,22:58:55,   6.815, -73.162, 144.0,  3.3,  3.5,SANTANDER,LOS_SANTOS,22, 0.50,70,  2.5,  3.1,  4.9,Revisado
